customer_number,berlangganan_deposito
445420,0.086845204
585604,0.06213797
888824,0.053120025
816820,0.051312096
542716,0.09076389
937852,0.050793286
434084,0.07168231
230861,0.06811354
159684,0.41192538
274159,0.088352695
415073,0.09936913
839604,0.73555595
222848,0.08155473
746851,0.0685281
359083,0.057072666
764740,0.1420745
532666,0.112806074
542489,0.068950064
683800,0.1039847
393880,0.050763775
346443,0.15550052
722690,0.051819008
797639,0.09471464
974186,0.43652433
774649,0.09655524
482188,0.11226261
312516,0.079163834
363861,0.096563146
714683,0.10228853
708370,0.09988183
371413,0.051527478
630217,0.067416504
571146,0.17579602
962328,0.08491141
470375,0.053216185
945629,0.07047466
179592,0.057195272
744791,0.09649186
289641,0.32958832
595829,0.08796628
620262,0.3084665
738283,0.06819658
288862,0.37803435
854233,0.05058634
401365,0.07541919
671370,0.13307616
307359,0.086058624
845744,0.058291044
833496,0.09388571
889877,0.085235186
600454,0.40015128
595366,0.09237683
299980,0.29284534
316195,0.0940926
892132,0.110524416
429227,0.37066472
568864,0.11165182
453514,0.063782945
655724,0.084238105
405125,0.10122585
357624,0.08728305
706564,0.08182715
328177,0.12560736
322194,0.09379602
415259,0.08075895
737899,0.21023907
934827,0.07061692
932482,0.08582389
452141,0.06848619
252326,0.07230856
543165,0.0534412
961597,0.09005358
529109,0.052797515
830645,0.10617216
628282,0.076748274
989235,0.4447728
779931,0.06987532
171152,0.37715426
467849,0.07909737
424751,0.10472678
335651,0.07960315
960826,0.07353951
307645,0.08361037
126669,0.055021726
876278,0.07002468
464099,0.07924777
682185,0.064939305
912996,0.060426082
540820,0.068342425
667534,0.05780182
232173,0.108211294
503340,0.10133946
524302,0.19872475
722557,0.055911183
217598,0.07887411
169002,0.11863488
651324,0.12308627
663126,0.06973005
621228,0.07736143
963929,0.058245894
809507,0.10069723
453945,0.08417912
743732,0.4879311
385403,0.49092177
241287,0.44386297
737937,0.12705608
125159,0.061984356
122370,0.06274775
814180,0.054952975
945339,0.081512436
364136,0.07127623
343072,0.124726005
938465,0.34742734
149951,0.093339235
222232,0.08031442
832629,0.06819285
296781,0.08407688
748715,0.068038486
604027,0.21566412
859866,0.083193034
792616,0.054323032
465754,0.07835821
678835,0.07233863
998270,0.321063
166767,0.06511186
739982,0.090585396
806252,0.068393975
921673,0.14201652
611081,0.16467237
818716,0.08242455
230739,0.05054769
216209,0.1563241
516335,0.05706857
644791,0.08380052
176058,0.14961194
979898,0.05381812
503495,0.06769223
878173,0.058776766
722870,0.12852335
724786,0.059879493
659692,0.112964705
159203,0.060725804
155945,0.09662506
277862,0.05737353
873897,0.09454716
445443,0.08331063
818967,0.06296355
478589,0.31197572
991622,0.05365098
511840,0.08994605
459299,0.05280056
822075,0.05407486
523100,0.36810443
304343,0.07096433
221439,0.084300615
818521,0.16404699
728235,0.051622126
917490,0.15260431
108047,0.097836524
104801,0.083593756
273368,0.6637738
676406,0.07867381
278995,0.10816933
112831,0.6311818
601516,0.13015762
296954,0.51677424
982848,0.09253145
428287,0.088167824
679849,0.09034809
744389,0.067555115
558008,0.12033311
861444,0.07691329
826041,0.052849934
869683,0.0694827
800301,0.05352902
590588,0.10408664
476971,0.094870135
897567,0.20502377
710714,0.12112751
791479,0.08904469
198512,0.07475212
726908,0.45990428
465365,0.07609985
487974,0.058566805
103998,0.58250284
450545,0.083915345
700295,0.10046204
592903,0.084335126
740969,0.0761726
545984,0.5652383
792271,0.51839143
638055,0.0923282
905049,0.1496978
769789,0.07624718
285737,0.12949729
697928,0.07875163
539662,0.5159303
426578,0.0532949
914620,0.07393384
122847,0.06493605
448954,0.07972123
664546,0.109166116
252673,0.050404403
379979,0.091415845
739389,0.050696358
896794,0.36911044
922027,0.08245136
788709,0.14731124
226556,0.38791686
635801,0.40462646
724670,0.11072634
456865,0.07725323
789206,0.059109922
713452,0.07839505
503601,0.08995663
694845,0.08245266
699198,0.094539605
871218,0.06109051
701739,0.43681693
792667,0.08754346
265126,0.09684342
985164,0.08594914
225460,0.054060135
277911,0.10846461
131758,0.095298044
396481,0.068146355
224647,0.086834386
763141,0.08681027
579637,0.08407974
534004,0.06183149
390471,0.09600429
585692,0.06367712
487001,0.07589727
274990,0.07987329
676316,0.1740591
468239,0.05392619
212058,0.051832784
967235,0.050488777
464472,0.10103664
269117,0.13813369
582426,0.080586605
576946,0.059178926
932807,0.074903555
689967,0.11087557
189240,0.057376523
628987,0.05847916
581662,0.053129535
294999,0.066470176
219955,0.08630405
496583,0.13817012
494591,0.078933045
232619,0.09576825
472050,0.38359484
729890,0.45318827
426399,0.09083008
322143,0.06259381
110452,0.14437932
183222,0.1895939
913723,0.059825882
830481,0.22323565
378477,0.090155914
296209,0.06951974
190961,0.08406794
230615,0.08458721
267515,0.08818647
373488,0.062383074
978201,0.062281016
477140,0.08749594
485900,0.345689
869092,0.08430895
223766,0.06207824
690418,0.07378935
758624,0.30083218
615065,0.086791046
591932,0.048894588
308745,0.06109788
913671,0.07967304
834323,0.06728538
659254,0.24340385
193611,0.07470161
750025,0.3488027
537106,0.05445927
898654,0.071772
210175,0.07861991
288396,0.08163465
737836,0.084473684
421587,0.07096998
529398,0.0912715
639811,0.64806265
284972,0.0779073
514337,0.059422065
271244,0.053303458
328686,0.06298955
362004,0.075435735
816914,0.14104654
507435,0.4121182
712306,0.05712262
254685,0.050059058
386884,0.13165699
851130,0.12559488
460150,0.41176972
811973,0.07053116
745161,0.085636556
315385,0.056564014
563315,0.08268707
338389,0.053473737
365425,0.117174454
561291,0.079432756
270500,0.100858666
196114,0.20538977
997564,0.058653127
992095,0.4020766
876322,0.46906126
276632,0.12289169
560577,0.1656265
680475,0.051509954
930873,0.06622966
555807,0.09340743
946777,0.4264253
188093,0.41758168
482963,0.4657808
193273,0.07028992
283090,0.27339727
848119,0.09563491
497484,0.5029125
356839,0.090259105
632869,0.057961553
406814,0.07901128
641533,0.07527887
301093,0.14451015
660104,0.3626885
780953,0.06180687
340391,0.063593335
784427,0.09744482
338068,0.07506961
329629,0.73458976
113787,0.41312167
203540,0.080553934
651214,0.08749934
201370,0.660929
476381,0.093815066
915265,0.07115571
474798,0.5570583
719689,0.049319588
412655,0.11410603
277752,0.08395403
802606,0.087574415
125987,0.6213805
658738,0.067463055
889189,0.072629444
706482,0.10724153
531267,0.32032362
942505,0.113544084
482784,0.065711744
939997,0.054151356
377166,0.45237342
231926,0.07543385
176651,0.18049213
257866,0.42002144
611931,0.06491856
366275,0.07210338
191757,0.056787316
226569,0.33420217
326799,0.081662126
596151,0.14340201
883193,0.39182347
484656,0.22637732
591478,0.063033074
644854,0.4543817
941581,0.08812266
970704,0.08926821
671104,0.05510941
605449,0.35283834
714827,0.09384542
573043,0.61433756
113680,0.083171524
123503,0.08480732
346346,0.09667634
951809,0.100699514
615098,0.08941923
699715,0.05828869
840866,0.09701662
266799,0.04949418
317131,0.111809015
742332,0.45105156
699479,0.082546234
805118,0.4248206
558782,0.05756201
508840,0.062630266
906755,0.14346352
193533,0.07258958
772363,0.056520794
547284,0.060918104
520405,0.0753872
365655,0.122301474
662595,0.67914116
468769,0.08842878
291644,0.07568971
731503,0.43209153
594134,0.08746476
128805,0.08910568
887876,0.08003591
563616,0.08922606
212992,0.08945313
616978,0.064289264
263193,0.060982484
770567,0.0852103
761233,0.07145735
354673,0.08358977
727914,0.059137274
632569,0.0941474
129143,0.09410886
114071,0.07044324
357009,0.050256614
425626,0.07765349
948230,0.28708392
853830,0.056272052
400981,0.09842182
639476,0.696597
502379,0.07823537
687983,0.053642023
275643,0.08548568
237839,0.091658436
239402,0.44208622
514148,0.09419682
655574,0.096069396
424505,0.05796995
261742,0.38125572
830778,0.09507106
307564,0.0930163
181282,0.5007021
579268,0.48284048
517628,0.0888647
311591,0.08220925
407559,0.12375871
951533,0.09002881
721635,0.073067695
850812,0.40152237
107682,0.065042794
666748,0.08185383
741527,0.15020007
142367,0.069645666
462241,0.3600991
774990,0.08974855
136689,0.10075087
164173,0.051339447
804037,0.051390577
457631,0.06958829
791214,0.077560306
878170,0.052148327
903342,0.08924647
906625,0.07652591
198012,0.08685908
423121,0.15253177
156421,0.07158502
889223,0.08411635
791237,0.106478386
384223,0.09465907
920888,0.08169077
376661,0.0669552
519558,0.106154464
509405,0.07879081
791661,0.08299977
838833,0.084267065
825702,0.07230762
283713,0.093915164
108910,0.06607576
273331,0.080057256
261172,0.08481669
761571,0.58003694
557998,0.067493565
703637,0.080730036
160766,0.06485371
292105,0.15355903
629895,0.06895195
774393,0.08126495
823228,0.066329725
760033,0.09048437
964709,0.07402651
961596,0.11134367
261557,0.05216946
398386,0.07710517
277847,0.08555165
347117,0.086208254
509511,0.06356309
135224,0.0999709
774196,0.092818126
792898,0.10553898
146314,0.08975042
988194,0.122231856
395927,0.0638314
327809,0.09204804
736873,0.47951826
516580,0.34487787
985329,0.09653178
558567,0.08861225
925730,0.32455775
164744,0.081316374
503998,0.057334475
282684,0.08710058
808384,0.09051955
677653,0.20476525
257897,0.09775711
218317,0.21488675
559583,0.0546111
702925,0.09587445
398657,0.07942574
487712,0.061917283
581840,0.083349995
962115,0.08505579
382155,0.09830486
741023,0.39512074
935298,0.08052541
757002,0.09520543
141073,0.12362051
260333,0.0712372
874774,0.08269362
588209,0.15528181
235081,0.078188196
107084,0.3513596
776069,0.06816913
172979,0.09137199
908725,0.091998756
766796,0.08680212
780310,0.104314975
819765,0.07862449
430225,0.08821753
932885,0.09543318
282265,0.3784219
260373,0.052095048
321170,0.07106322
290568,0.068548664
556679,0.09735203
103617,0.04939642
293186,0.07167994
552893,0.44629228
518121,0.13585444
613049,0.09347941
687696,0.10427362
711788,0.118501425
431456,0.35063785
875671,0.06509378
484021,0.05367366
236313,0.06192976
622396,0.083266646
823381,0.07373119
187789,0.08038873
839701,0.05005991
685317,0.08245232
677132,0.117250144
121744,0.086541295
219806,0.1022262
919629,0.62479526
888312,0.06433514
892436,0.07939305
452788,0.06285716
163672,0.09541881
815566,0.14315136
598304,0.0824099
102554,0.13865028
742910,0.089035265
764844,0.09674991
416635,0.08026183
350848,0.07570782
470818,0.15959142
112219,0.12715575
777822,0.084554814
830386,0.060043726
268295,0.08138173
588958,0.049916454
376112,0.19077632
514275,0.07751287
625874,0.14052337
525295,0.47249871
503410,0.082647346
663505,0.2591907
634361,0.05919384
769693,0.1298834
721139,0.4682489
663983,0.06952089
779566,0.089794636
284570,0.059318
338882,0.053526856
364089,0.07760057
624286,0.08252991
193216,0.05081779
323768,0.08069105
168181,0.08127188
616794,0.573875
396977,0.36828315
538185,0.074685015
526965,0.065079734
733420,0.09277359
782369,0.078083605
599377,0.06953445
758934,0.08479456
301650,0.34945744
250423,0.32620502
792025,0.06126881
167555,0.07532614
473616,0.1379892
489903,0.34361234
451261,0.08498379
961710,0.44030777
206927,0.33645254
976333,0.5192173
212032,0.056823853
483343,0.070586264
966042,0.08483251
350008,0.06199643
671255,0.10363189
722566,0.07352517
110031,0.08471775
362821,0.06944879
809080,0.08436633
830009,0.082211114
415836,0.060110074
809321,0.08213259
919932,0.07556371
900638,0.4574356
292525,0.097488336
377981,0.08307587
145291,0.41380432
315570,0.08713128
634587,0.05322227
504885,0.085711874
590261,0.08461995
757109,0.08174316
680181,0.07804102
851343,0.07440018
353504,0.10409191
255646,0.36892408
760419,0.109569415
683943,0.11464225
175460,0.25798583
904416,0.09147311
627698,0.07051194
330021,0.1114586
249346,0.4382163
826346,0.08599294
220053,0.67375576
570394,0.054230932
421228,0.10957428
628649,0.08064202
104061,0.052125327
155920,0.07833042
712901,0.07606406
721599,0.07939187
511978,0.5690771
511452,0.07891738
105174,0.070000365
136226,0.08485343
699591,0.07527887
419037,0.07411688
876037,0.5486829
362559,0.08246707
291680,0.4424055
733338,0.06946281
439891,0.37343702
208916,0.08410863
227745,0.06998281
504364,0.08426608
292595,0.06048954
717721,0.09783717
366168,0.07538463
910012,0.11986577
268179,0.06536886
621760,0.09993313
975254,0.06688543
788683,0.34816766
923077,0.08203706
547388,0.3539118
773048,0.13562442
944699,0.08943807
789430,0.09716295
502477,0.06001913
875944,0.17715746
325272,0.056721076
228527,0.092542976
781482,0.12344839
667867,0.6868817
367892,0.07059377
136584,0.078664824
291901,0.08601296
349743,0.077912204
861705,0.05130887
566659,0.07783256
512030,0.053724546
914268,0.082921706
642152,0.075784266
426463,0.074572
511344,0.07105193
921066,0.12426855
985584,0.0710292
661083,0.12741207
996114,0.31103465
387514,0.09119853
381528,0.058802
162961,0.06779125
555013,0.055406407
535152,0.393221
475115,0.07966069
935447,0.0901819
843198,0.06306796
631515,0.060112294
622904,0.073668815
145988,0.08705608
959390,0.075914495
907198,0.059417706
487453,0.09142969
800533,0.46297878
476283,0.08289585
343972,0.42888996
741149,0.24157792
245990,0.1018629
165516,0.10477304
874280,0.081778474
678128,0.35218012
554259,0.08716794
852922,0.083027974
186697,0.06834648
774948,0.067199945
316189,0.093919955
556867,0.07853625
519834,0.12556289
386427,0.094852366
508180,0.08780927
431624,0.0814489
898887,0.091447465
882939,0.075410955
470949,0.44547775
223051,0.08487813
483352,0.29662263
158992,0.08995376
900835,0.14594772
483440,0.066392966
775866,0.061067324
138479,0.08901763
456408,0.113017485
439842,0.05211377
593003,0.07782698
641365,0.109368324
733316,0.07874645
194454,0.09439462
304062,0.0710189
425695,0.059263833
533038,0.05233349
184894,0.076253556
555385,0.48074755
922638,0.050329823
688754,0.055783544
399874,0.08851322
929291,0.057814624
568532,0.30849135
842824,0.072352156
764804,0.55699205
979210,0.7209371
203367,0.07917686
721106,0.056120586
431805,0.061594028
148561,0.08590459
155910,0.08603116
719584,0.08140893
547841,0.07083848
370363,0.08724826
987459,0.3785091
524623,0.055552207
318506,0.09185622
738065,0.11386708
536910,0.09621334
113505,0.06853226
528115,0.05232836
998104,0.06977021
701941,0.0941681
600765,0.09788342
912236,0.053891763
715343,0.08061572
169560,0.0860683
982541,0.06901458
954441,0.0850698
505052,0.3015718
161650,0.0831706
679545,0.12050536
529279,0.08411943
332491,0.22565691
423585,0.5193299
285703,0.065293185
943858,0.080033086
934020,0.08500515
127458,0.106040984
477970,0.07394285
790396,0.13754398
798212,0.08376719
143358,0.08332402
738403,0.06834689
943637,0.10131553
747813,0.06228905
594268,0.08867027
111832,0.05317732
452341,0.0883751
613068,0.70831347
480200,0.049887374
116804,0.085244246
242523,0.11334802
202576,0.30570263
630895,0.07962217
376354,0.13374926
372225,0.06896832
476713,0.4575747
627363,0.10025654
853093,0.08049817
362776,0.09764238
954885,0.06845743
676826,0.107987545
387586,0.71362466
296504,0.22227946
579583,0.06842165
206907,0.5772476
803662,0.049250036
722665,0.072968155
973640,0.07591087
532815,0.09601912
259070,0.10425534
159704,0.06818876
990664,0.12911052
312624,0.06882401
613697,0.07168061
783332,0.08205326
772131,0.18988308
626397,0.1355726
432438,0.080965884
360201,0.14133473
884791,0.07977142
784121,0.05679774
621563,0.062549986
773517,0.12877794
596094,0.095091596
339244,0.07933065
829911,0.088098615
598316,0.35503742
189458,0.05494557
823422,0.05335538
104967,0.084441796
331844,0.06574925
405309,0.08977058
515004,0.06687561
877246,0.08014281
574715,0.053182755
859845,0.069975935
113391,0.07596729
122758,0.07999089
710696,0.5422048
391468,0.08640252
669517,0.05605697
985862,0.050992772
634561,0.07807412
782111,0.08946191
916633,0.08413779
434053,0.07119302
739961,0.08605388
961165,0.0538073
384901,0.07920321
337796,0.05728021
181668,0.077681914
685269,0.054209597
226249,0.12845054
237906,0.47878796
905164,0.0844967
243348,0.0867722
355221,0.08610516
741014,0.085114606
634162,0.21445386
829267,0.05738529
511632,0.101499915
339174,0.09543719
656992,0.08423549
275191,0.053700466
108926,0.122375935
910538,0.07902635
218542,0.064861186
271838,0.08427644
779496,0.09526738
863441,0.08727454
623121,0.13108414
902757,0.13386554
269790,0.10290708
543630,0.06752997
719944,0.40111193
793652,0.08072305
312255,0.068825476
378575,0.07771343
738702,0.06842115
376044,0.09438867
987982,0.08927606
151938,0.10476729
834468,0.074123845
375431,0.092098705
565905,0.077010885
976179,0.08755288
248338,0.06653404
691635,0.10578327
235231,0.10135509
408460,0.054442897
246485,0.092652336
842822,0.2885432
654204,0.055692356
993495,0.06862101
448062,0.09724737
758525,0.05562921
393125,0.07743894
878284,0.5321306
607521,0.06976982
149654,0.22710961
452703,0.36031076
154128,0.06862782
871565,0.073088855
428066,0.07682559
815201,0.073524855
305739,0.056087688
959156,0.3364346
609625,0.09877736
660734,0.0666923
440396,0.09107786
816923,0.4913756
282232,0.07699263
255688,0.0785159
913695,0.05549198
499950,0.07879166
756911,0.08586755
330524,0.09246652
732539,0.08902833
517668,0.051692497
744812,0.055937048
353231,0.08982497
665014,0.0768416
236358,0.08657487
306780,0.054150403
680302,0.11468523
237672,0.12070501
349135,0.06727124
350626,0.081572935
722005,0.053742144
543884,0.112759225
417860,0.26005793
884523,0.14036536
769775,0.64992887
216516,0.054079667
849763,0.07836785
129978,0.08123754
385873,0.15873295
166015,0.4414101
539837,0.3739755
340729,0.069906086
817019,0.074703716
518359,0.054796025
890386,0.07385169
357487,0.08208751
810870,0.5436364
884822,0.107768096
626494,0.055771563
822487,0.09386289
979979,0.30781496
201017,0.07207162
631627,0.12120193
790135,0.10332401
236296,0.08488185
917110,0.08733911
