iter	Logloss
0	0.6427034515
1	0.5996522514
2	0.5604612353
3	0.528854207
4	0.5021097282
5	0.4767831348
6	0.45337821
7	0.4343717551
8	0.4167060194
9	0.4015342384
10	0.3878786277
11	0.3760618159
12	0.3665890978
13	0.3587189686
14	0.3514891426
15	0.3445253716
16	0.3391230078
17	0.3330079057
18	0.3287664784
19	0.323898129
20	0.3203695398
21	0.3165681137
22	0.3131943631
23	0.3101993522
24	0.3071614914
25	0.3048163857
26	0.3028745641
27	0.3006984404
28	0.2992874968
29	0.2980498735
30	0.296473244
31	0.294985041
32	0.2935327659
33	0.2924199929
34	0.2916968169
35	0.2908248052
36	0.289886105
37	0.289075548
38	0.2883080939
39	0.2876208291
40	0.2869105846
41	0.2865926105
42	0.2858564563
43	0.2853610767
44	0.2847691802
45	0.2841620881
46	0.2838266378
47	0.2835444051
48	0.2831310961
49	0.2828404399
50	0.2824646669
51	0.2822303581
52	0.281851422
53	0.2816920987
54	0.2814245588
55	0.2811582075
56	0.2809085467
57	0.2806262641
58	0.2803145393
59	0.2801337911
60	0.279881783
61	0.2797137333
62	0.2794024513
63	0.2792390394
64	0.2790858822
65	0.2788493194
66	0.2786565119
67	0.2784858752
68	0.2783509166
69	0.2782731544
70	0.2781309044
71	0.2779720306
72	0.2778739888
73	0.2777877098
74	0.2776450936
75	0.2775193243
76	0.2774489368
77	0.2772510186
78	0.2771668539
79	0.2770970124
80	0.2769927845
81	0.2769119226
82	0.2768203632
83	0.2767088905
84	0.2765788628
85	0.2765374114
86	0.2764627788
87	0.2763675804
88	0.276263176
89	0.2762015083
90	0.2761281276
91	0.2760600673
92	0.2759629811
93	0.2758840336
94	0.2758255321
95	0.2757558404
96	0.2756906069
97	0.2756080935
98	0.2755018047
99	0.2753993015
