iter	Passed	Remaining
0	6	650
1	13	647
2	20	653
3	27	671
4	36	698
5	45	712
6	53	705
7	61	702
8	70	711
9	79	718
10	88	712
11	95	697
12	102	683
13	109	672
14	116	662
15	124	652
16	130	638
17	137	628
18	145	618
19	152	610
20	159	601
21	167	593
22	174	585
23	182	577
24	189	569
25	197	562
26	205	555
27	213	547
28	220	539
29	227	531
30	235	524
31	242	515
32	250	508
33	257	500
34	266	494
35	279	497
36	289	492
37	298	487
38	306	479
39	316	474
40	325	468
41	334	462
42	345	457
43	356	453
44	365	446
45	375	440
46	385	434
47	395	428
48	405	421
49	414	414
50	422	406
51	431	398
52	439	390
53	448	381
54	457	374
55	466	366
56	475	358
57	482	349
58	490	341
59	498	332
60	506	324
61	515	316
62	523	307
63	531	298
64	539	290
65	547	282
66	556	274
67	565	265
68	574	258
69	582	249
70	591	241
71	599	233
72	607	224
73	616	216
74	624	208
75	633	199
76	641	191
77	649	183
78	656	174
79	664	166
80	673	157
81	680	149
82	689	141
83	697	132
84	705	124
85	713	116
86	721	107
87	730	99
88	739	91
89	748	83
90	757	74
91	766	66
92	775	58
93	783	50
94	792	41
95	800	33
96	809	25
97	818	16
98	827	8
99	835	0
